system   D            wsystem.c:583  maybe_parent_dir                 [   0.00071] Also searching D:\CPP\ants\
display  D   display_settings.c:486  _al_score_display_settings       [   0.02856] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02857] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02859] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02860] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02861] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02862] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02863] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02864] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02865] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02866] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02867] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02868] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02869] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02870] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02871] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02872] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02873] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02875] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02876] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02877] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02878] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02879] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02880] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02881] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02882] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02883] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02884] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02885] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02886] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02887] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02888] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02889] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02890] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02891] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02892] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02893] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02894] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02895] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02896] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02898] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02899] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02900] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02901] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02902] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.02903] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02904] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02905] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02906] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02907] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02909] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02910] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02911] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02912] Single Buffer requirement not met.
